,Entropia,Uni%,Broad%,Paquetes,2048%, 2054%, 33024%,34999%, 34525%
13:42,0.6588322938922381,0.9834630350194552,0.016536964980544747,1028.0,0.8959143968871596,0.010700389105058366,0.0311284046692607,0.061284046692607,0.0009727626459143969
13:43,0.37352213896050873,0.9923973644196655,0.007602635580334516,1973.0,0.9493157627977699,0.005575266092245312,0.015712113532691335,0.02939685757729346,0.0
13:44,0.2650749656860193,0.9949644549763034,0.005035545023696682,3376.0,0.966824644549763,0.0032582938388625595,0.009478672985781991,0.02014218009478673,0.0002962085308056872
13:45,0.3286464780121715,0.9941084053417125,0.00589159465828751,2546.0,0.9564021995286724,0.004320502749410841,0.013354281225451688,0.025923016496465043,0.0
13:46,0.9374826537937431,0.9880794701986755,0.011920529801324504,1510.0,0.7880794701986755,0.007947019867549669,0.025827814569536423,0.17748344370860927,0.0006622516556291391
13:47,0.5597543586354925,0.9874161073825504,0.012583892617449664,1192.0,0.915268456375839,0.009228187919463088,0.02684563758389262,0.04865771812080537,0.0
13:48,0.29904545243483727,0.9945317840054683,0.005468215994531784,2926.0,0.9613807245386192,0.003417634996582365,0.011278195488721806,0.023581681476418318,0.0003417634996582365
13:49,0.20441646162090168,0.9969945902624725,0.0030054097375275496,4991.0,0.9751552795031055,0.0022039671408535366,0.006211180124223602,0.01642957323181727,0.0
13:50,0.1985376511982085,0.9963937208315655,0.0036062791684344504,4714.0,0.9766652524395418,0.002333474756045821,0.006576156130674586,0.014212982605006363,0.00021213406873143826
13:51,0.5861822177200009,0.9871904355251921,0.012809564474807857,1171.0,0.9086251067463706,0.009393680614859096,0.025619128949615714,0.05636208368915457,0.0
