ttl,ip,promedio,max,min,intersalto
1,172.21.16.1,3.441127141316732,6.325006484985352,2.268552780151367,3.441127141316732
2,192.168.0.1,12.101005105411305,20.37525177001953,7.571220397949219,8.659877964094573
3,No Response,803.7767821344836,807.1792125701904,802.4582862854004,791.6757770290723
4,No Response,804.1614992865201,818.0427551269531,802.2334575653076,792.0604941811088
5,No Response,803.7145959919897,808.3901405334473,802.6018142700195,791.6135908865783
6,No Response,804.7430350862701,833.4183692932129,802.2267818450928,792.6420299808588
7,181.89.2.119,24.984049797058105,43.78652572631836,14.446258544921875,12.8830446916468
8,No Response,804.3244049466889,814.7139549255371,801.8920421600342,779.3403551496308
9,181.89.2.125,25.55357615152995,32.39560127258301,16.889333724975586,0.5695263544718436
10,No Response,804.4431867270634,810.15944480896,802.1371364593506,778.8896105755335
11,67.17.99.233,148.05355072021484,166.87512397766113,139.37973976135254,122.49997456868489
12,No Response,804.5830130577087,817.2483444213867,802.6087284088135,656.5294623374939
13,No Response,803.8966863051704,809.1158866882324,802.3252487182617,655.8431355849556
14,4.53.158.194,286.74473762512207,304.52823638916016,270.55954933166504,138.69118690490723
15,210.7.33.244,258.16842714945477,315.54198265075684,251.41572952270508,0
16,210.7.33.246,408.6657444636027,454.69141006469727,378.47280502319336,150.49731731414795
17,210.7.33.242,339.82098897298175,352.9195785522461,333.45770835876465,0
18,210.7.39.78,407.97215302785236,422.27721214294434,388.6270523071289,68.1511640548706
19,156.62.5.161,340.19718170166016,349.67875480651855,336.9736671447754,0
20,No Response,803.7148454914923,813.6692047119141,802.0725250244141,463.5176637898321
21,156.62.1.252,339.67712720235187,349.606990814209,333.4934711456299,0
22,No Response,804.2141897925015,817.5849914550781,802.1960258483887,464.5370625901497
23,156.62.238.90,339.2289638519287,363.70229721069336,329.15759086608887,0
